Team,Team_Logo
Chennai Super Kings,https://documents.iplt20.com/ipl/franchises/1731684872_1702465555_CSKroundbig.png
Delhi Capitals,https://documents.iplt20.com/ipl/franchises/1731685245_1702465727_DCroundbig.png
Gujarat Titans,https://documents.iplt20.com/ipl/franchises/1731685262_1702465836_GTroundbig.png
Kolkata Knight Riders,https://documents.iplt20.com/ipl/franchises/1731685297_1702465948_KKRroundbig.png
Lucknow Super Giants,https://documents.iplt20.com/ipl/franchises/1731684320_1702466030_LSGroundbig.png
Mumbai Indians,https://documents.iplt20.com/ipl/franchises/1731684308_1702466090_MIroundbig.png
Punjab Kings,https://documents.iplt20.com/ipl/franchises/1731685190_1702466143_PBKSroundbig.png
Rajasthan Royals,https://documents.iplt20.com/ipl/franchises/1731685089_1702466295_RRroundbig.png
Royal Challengers Bengaluru,https://documents.iplt20.com/ipl/franchises/1731684948_1702466217_RCBroundbig.png
Sunrisers Hyderabad,https://documents.iplt20.com/ipl/franchises/1731685022_1702466366_SRHroundbig.png
